"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"FF03_CP";"FF03";"F_KNOWN";"F_EMOTION";"F_VALENZ";"F_AROUSAL";"ID02";"PID";"IV02_02";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
715;;"714";"Puls_Fragebogen";"admin";2020-03-27 10:42:27;;;1;5;78;78;;"MiSa2410";"1";;2;8;;;;;;;;0;;2020-03-27 10:42:37;1;0;3;3;0;0;;100
716;;"714";"Puls_Fragebogen";"admin";2020-03-27 10:42:37;;;2;1;17;69;;"MiSa2410";"2";;1;11;;;;;;;;0;;2020-03-27 10:42:49;1;0;3;3;0;0;;100
717;;"714";"Puls_Fragebogen";"admin";2020-03-27 10:42:49;;;1;2;94;98;;"MiSa2410";"3";;2;5;;;;;;;;0;;2020-03-27 10:42:56;1;0;3;3;0;0;;100
718;;"714";"Puls_Fragebogen";"admin";2020-03-27 10:42:56;;;2;4;3;21;;"MiSa2410";"4";;3;4;;;;;;;;0;;2020-03-27 10:43:03;1;0;3;3;0;0;;100
720;;"719";"Puls_Fragebogen";"admin";2020-03-27 10:43:23;;;1;2;90;94;;"GaSa2405";"1";;1;8;;;;;;;;0;;2020-03-27 10:43:32;1;0;3;3;0;0;;100
721;;"719";"Puls_Fragebogen";"admin";2020-03-27 10:43:32;;;1;3;14;21;;"GaSa2405";"2";;2;7;;;;;;;;0;;2020-03-27 10:43:41;1;0;3;3;0;0;;100
722;;"719";"Puls_Fragebogen";"admin";2020-03-27 10:43:41;;;2;2;81;10;;"GaSa2405";"3";;1;7;;;;;;;;0;;2020-03-27 10:43:49;1;0;3;3;0;0;;100
723;;"719";"Puls_Fragebogen";"admin";2020-03-27 10:43:49;;;2;1;32;12;;"GaSa2405";"4";;1;5;;;;;;;;0;;2020-03-27 10:43:55;1;0;3;3;0;0;;100
724;;;"Puls_Stimuli";"admin";2020-03-27 10:52:30;0;4231;;;;;4;"GaSa2405";;5;;5;1;4;2;6;1;2;1;0;;2020-03-27 10:52:58;1;0;10;10;0;0;;100
725;;;"Puls_Stimuli";"admin";2020-03-27 10:53:16;0;4321;;;;;5;"MiSa2410";;6;;2;2;2;2;1;1;2;1;0;;2020-03-27 10:53:35;1;0;10;10;0;0;;100